AAB	Abelag Aviation	ABG
TAB	Transportes Aeronauticos del Bajio, S.A. de C.V. - Mexico	Trans-Bajio
TAC	Turbot Air Cargo - Senegal	Turbot
TAE	Transportes Aereos Militares Ecuatorianos C.A. (TAME) - Ecuador	Tame
TAF	THT Air Services (Pvt) Ltd - Bangladesh	Asia World
TAG	Tag Aviation USA , Inc. (San Francisco, CA) - United States	Tag U-S
TAH	Air Moorea - France	Air Moorea
TAI	Taca International Airlines S.A. - El Salvador	Taca
TAJ	Tunisavia - Societe de Transports, Services et Travaux Aeriens	Tunisavia
TAK	?	Transafrican
TAL	Talair Pty. Ltd. - Papua New Guinea	Talair
TAM	TAM - Linhas Aereas S.A. - Brazil	Tam
TAN	Zanair Limited	Zanair
TAO	Transportes Aeromar - Mexico	Trans-Aeromar
TAP	Transportes Aereos Portugueses, E.P. - Portugal	Air Portugal
TAR	Tunis Air - Societe Tunisienne de l'Air	Tunair
TAS	Lotus Airline - Egypt	Lotus Flower
TAT	Taca Costa Rica S.A. - Costa Rica	Taca-Costarica
TAU	Transportes Aereos Tauro, S.A. de C.V. - Mexico	Transtauro
TAV	Compania de Servicios Aereos Tavisa - Spain	Tavisa
TAW	Tian-Shan Air Company - Kyrgyzstan	Tian-Shan
TAX	?	Express Wing
TAY	?	Quality
TBA	Tibet Airlines Co., Ltd - China	Tibet
TBE	Taxi Aero Bae, S.A. de C.V. - Mexico	Taxi Baie
TBI	Tab Express International (Deland, FL) - United States	Tab International
TBJ	Tag Aviation Asia Limited	Tag Jet
TBL	?	Telco
TBM	Taban Air Lines - Iran (Islamic Republic of)	Taban
TBO	Aero Taxi de Los Cabos, S.A. de C.V. - Mexico	Aero Cabos
TBR	Air BTR Ltd	Thracian
TBS	?	Timbis
TBT	Tombouctou Aviation Company	Tombouctou Air
TBZ	Ata Airlines - Iran (Islamic Republic of)	Atalar Air
TCA	Tradecraft Nigeria Ltd	Tradecraft
TCB	?	Aereo Colombia
TCC	Trans Continental Airlines - Sudan	Transcal
TCD	Tchad Airlines - Chad	Tchadlines
TCE	Trans-Colorado Airlines, Inc. (Gunnison, CO)	Trans-Colorado
TCG	?	Africargo
TCH	Transcontinental Air Wll	Trans Gulf
TCI	?	Amber
TCL	Escape Aviation D/B/A Coastal Air Transport (Fairhope, AL) - United States	Trans Coastal
TCM	Teledyne Continental Motors (Muskegon, MI)	Teledyn
TCO	Aerotranscolombiana de Carga Ltda. - Colombia	Transcolombia
TCP	Transcorp Airways	Transcorp
TCR	Laneas Aereas Trans Costa Rica S.A. - Costa Rica	Ticos
TCS	ATS, Private Company - Ukraine	Techservice
TCT	Transcontinental Sur S.r.l. - Uruguay	Trans-Cont
TCU	Transglobal Airways Corporation - Philippines	Transglobal
TCV	?	Caboverde
TCW	?	Phoenix
TCX	Thomas Cook Airlines Ltd	Kestrel
TCY	Twin Cities Air Service, Inc. (Auburn, ME)	Twin City
TDA	?	Trend Air
TDB	Welch Aviation, Inc. (Alpena, MI)	Thunder Bay
TDC	Tadair, S.A. - Spain	Tadair
TDE	Telavia D/B/A Flight One, Inc. (Telluride, CO)	Telluride
TDG	Air Cargo Express, Inc. (Little Rock, AR)	Turbo Dog
TDI	Transportes Aereos de Ixtlan, S.A. de C.V. - Mexico	Transixtlan
TDM	Tandem-Aero Srl - Republic of Moldova	Tandem
TDR	Trade Air - Croatia	Tradeair
TDT	Atlas Helicopters Ltd	Trident
TDV	Taxi Aereo Nacional del Evora, S.A. de C.V. - Mexico	Taxi Evora
TEA	Executive Turbine Aviation (Pty) Ltd - South Africa	Travelmax
TEC	ADI Shuttle Group, LLC (Mather, CA)	Techjet
TED	Aero Servicios Azteca, S.A. de C.V. - Mexico	Aeroazteca
TEE	West Freugh DTEO	Teebird
TEF	Tecnicas Fotograficas, S.L. - Spain	Tecfoto
TEG	Aeroservicios de Tlaltenango, S.A. de C.V. - Mexico	Servitlal
TEK	?	Atech
TEL	Telford Aviation, Inc. (Waterville, ME)	Telford
TEM	Tech-Mont Helicopter Company Ltd - Slovakia	Techmont
TEN	Tennessee Airways (Alcoa, TN)	Tennessee
TEO	?	Transaereo
TEP	Transportes Ejecutivos Piza, S.A. de R.L. - Mexico	Transportes Piza
TER	Territorial Airlines, Inc. (Santa Fe, NM)	Terri-Aire
TES	?	Tesaban
TET	Tepavia-Trans Airline - Republic of Moldova	Tepavia
TEU	?	Tag Malta
TEW	?	Teamwork
TEX	Catex, Compagnie - France	Catex
TEZ	Tez Jet Airlines	Tezjet
TFA	Trans-Florida Airlines (Daytona Beach, FL)	Trans Florida
TFB	Tair Airways, Inc. - Philippines	Royal Tee-Air
TFF	Talon Air, Inc. (Farmingdale, NY) - United States	Talon Flight
TFG	Bluestream Aviation Ltd	Trafalgar
TFH	Thai Flying Helicopter Service Co., Ltd.	Thai Helicopter
TFL	?	Orange
TFO	Transportes Aereos del Pacifico, S.A. de C.V. - Mexico	Transportes Pacifico
TFR	Air Freight NZ Ltd - New Zealand	Toll Freight
TFS	TFF GmbH, Osnabrueck	Campus
TFT	Thai Flying Service Co. Ltd	Thai Flying
TFX	Toll Aviation Pty Ltd - Australia	Toll Express
TFY	Tayside Aviation Ltd - United Kingdom	Tayside
TGC	TG Aviation Ltd	Thanet
TGE	Trabajos Aereos S.A. - Spain	Tasa
TGG	?	Tiggoz
TGI	Transportes Aereos Regionales, S.A. de C.V. - Mexico	Transporte Regional
TGM	Tag Aviation Espana, S.A. - Spain	Tag Espana
TGN	Trigana Air Service, Pt. - Indonesia	Trigana
TGO	?	Transport
TGP	?	Tropicana
TGT	Saab Ab	Target
TGU	?	Chapin
TGW	?	Scooter
TGX	Transair Gabon - Gabon	Transgabon
TGY	Trans Guyana Airways	Trans Guyana
TGZ	Georgian Airways - Georgia	Tamazi
THA	Thai Airways International Ltd.	Thai
THD	?	Thai Smile
THE	Toumai Air Tchad - Chad	Toumai Air
THF	Touraine Helicoptere - France	Touraine Helico
THK	Turk Hava Kurumu Hava Taksi Isletmesi	Hur Kus
THL	?	Ternhill
THR	Tehran Airline	Tehran Air
THS	?	Tusas
THT	Air Tahiti Nui - France	Tahiti Airlines
THU	Thunder Airlines Ltd - Canada	Air Thunder
THY	Turk Hava Yollari (Turkish Airlines Co.)	Turkish
THZ	Trans Helicoptere Service - France	Lyon Helijet
TIA	Trans International Airlines	Trans International
TIB	TRIP, Transporte Aereo Regional do Interio Paulista Ltda. - Brazil	Trip
TIC	Travel International Air Charters Ltd	Travel International
TIE	Time Air - Czech Republic	Time Air
TIF	Transport Aerien Intercaraibes - France	Intercaraibes
TIG	Tiger Helicopters Ltd	Tigris
TIH	S.C.Ion Tiriac S.A.	Tiriac Air
TIK	Tic Air - Australia	Ticair
TIL	Tajikistan International Airlines - Tajikistan	Til
TIM	Team Transportes Aereos - Brazil	Team Brasil
TIN	?	Tindi
TIP	C and M Aviation (Butte, MT)	Transpac
TIR	Antair, S.A. de C.V. - Mexico	Antair
TIV	Alternative Air, S.A. de C.V. - Mexico	Alnave Air
TIW	Transcarga Intl Airways, C.A. - Venezuela	Tiaca
TIX	?	Matrix
TJA	?	Tapjets
TJE	Tomzajet, S.A. de C.V.	Tomzajet
TJJ	?	Thunderbolt
TJK	Tajikair - Tajikistan	Tajikair
TJS	Tyrolean Jet Service Nfg. GmbH & Co. KG - Austria	Tyroljet
TJT	Twin Jet - France	Twinjet
TKA	Transit-Avia Company Limited	Tourliz
TKI	Turku Air Oy	Turku Air
TKJ	?	Tarkim Aviation
TKK	Aero Ways, Inc. (New Castle, DE)	Tarka
TKM	JM Family Aviation (Ft. Lauderdale, FL) - United States	Tacoma
TKU	Transafric Uganda Limited	Ugatrans
TKX	Tropical International Airways - Saint Kitts and Nevis	Tropexpress
TLA	Aereotcla, S.A. de C.V.	Aerocla
TLB	Atlantique Air Assistance - France	Triple-A
TLC	Caribbean Express, Inc. (Miami Springs, FL) - United States	Carib-X
TLE	Aero Util, S.A. de C.V. - Mexico	Aeroutil
TLK	Starlink Aviation - Canada	Starlink
TLM	?	Mentari
TLN	Aerotaxi Atlantico, S.A. de C.V. - Mexico	Aero Atla
TLR	Air Libya Tibesti - Libya	Air Libya
TLS	TLC Air, Inc. (Carrolton, TX)	Tealsy
TLT	Turtle Airways Ltd.	Turtle
TLU	Aero Toluca Internacional, S.A. de C.V. - Mexico	Aerotoluca
TLV	Travelair	Pajaros
TLX	Telesis Transair, Inc. (Dallas, TX)	Telesis
TLY	Top-Fly - Spain	Topfly
TLZ	Transliz Aviation (TMS) Ltd	Transliz
TMA	Trans Mediterranean Airlines (TMA) - Lebanon	Tango Lima
TMC	?	Trail Blazer
TMD	?	Transmandu
TME	Thomas Air	Taimen
TMG	Tri MG Intra Asia Airlines, Pt. - Indonesia	Trilines
TMH	Taxis Turisticos Marakame Huichol, S.A. de C.V. - Mexico	Taximarakame
TMI	Tamir Airways Ltd - Israel	Tamirways
TMK	Tomahawk Airways, Inc. (Alcoa, TN)	Tomahawk
TML	Societe Anonyme de Transport et Travaux Aeriens de Madagascar (TAM) - Madagascar	Tam Airline
TMM	Traffic Management Corporation (TMC) Airlines  (Ypsilanti, MI)	Willow Run
TMN	Tasman Cargo Airlines Pty Ltd - Australia	Tasman
TMQ	Tram, Societe - Mauritania	Tram Air
TMS	Temsco Helicopters, Inc. (Ketchikan, AK)	Temsco
TMW	Trans Maldivian Airways Pvt., Ltd - Maldives	Trans Maldivian
TMX	Tramon Air Cc - South Africa	Tramon
TMZ	Transporte Amazon Air C.A. - Venezuela	Trans Amazon
TNB	Trans Air Benin	Trans-Benin
TNC	Transcancun Services, S.A. de C.V.	Transcancun
TNE	Taxis Aereos del Noroeste, S.A. de C.V. - Mexico	Taxinoroeste
TNF	Transafricaine S.A.	Transfas
TNI	?	Inca
TNK	Airmax Airlines, Inc. (Wayzata, MN)	Tonka Air
TNL	Tengeriyn Ulaach Shine	Sky Horse
TNM	Tiara Air - Aruba (Netherlands)	Tiara
TNO	Aerotransporte de Carga Union, S.A. de C.V. - Mexico	Aerounion
TNR	Tanana Air Services (Tanana, AK) - United States	Tan Air
TNU	Transnusa Aviation Mandiri, Pt.	Transnusa
TNV	Transnorthern, LLC (Anchorage, AK)	Transnorthern
TNW	Trans Nation Airways Ltd - Ethiopia	Trans-Nation
TNX	Trener Ltd - Hungary	Trainer
TNY	?	Twincal
TOA	Helicopter Services Ltd - United Kingdom	Topcat
TOC	Aerotropical, S.A. de C.V. - Mexico	Tropicmex
TOF	Topcliffe FTU	Topcliffe
TOJ	TOJ Airlines - Tajikistan	Toj Airline
TOK	Airlines of Papua New Guinea (APNG) - Papua New Guinea	Balus
TOM	?	Tomson
TON	Aero Tonala - Mexico	Aerotonala
TOP	Top Air Havacilik Sanayi Ve Ticaret A.S. - Turkey	Air Top
TOS	Tropic Air Ltd - Belize	Tropiser
TOW	?	Towline
TOY	Toyo Aviation - Romania	Toyo Aviation
TPA	?	Tampa
TPB	Aero Tropical, Lda - Angola	Aero Tropical
TPC	Air Caledonie - France	Aircal
TPD	?	Tropical
TPE	Mexico	Transpen
TPF	Taxis Aereos del Pacifico, S.A. de C.V. - Mexico	Taxipacifico
TPG	Transportes Aereos Pegaso, S.A. de C.V. - Mexico	Transpegaso
TPJ	?	Tempus Jets
TPK	Air Horizon - Chad	Tchad-Horizon
TPL	Tar Interpilot - Mauritania	Interpilot
TPM	Transpais Aereo, S.A. de C.V. - Mexico	Transpais
TPN	Transportacion Aerea del Norte, S.A. de C.V. - Mexico	Aerea Delnorte
TPO	Aero Taxi del Potosi, S.A. - Mexico	Taxi-Potosi
TPQ	Tropic Airlines - France	Tropicwest
TPR	Taxis Aereos de Parral, S.A. de C.V. - Mexico	Taxis Parral
TPS	Transportes Aereos Petroleros (T.A.P.S.A.) - Argentina	Tapsa
TPT	Transporte Aereo del Sureste, S.A. de C.V. - Mexico	Tassa
TPU	Trans American Airlines S.A. - Trans Am	Trans Peru
TPX	Transportes Aereos de Xalapa, S.A. de C.V. - Mexico	Transxalapa
TPZ	Transportes La Paz, S.A. de C.V. - Mexico	Transpaz
TQE	?	Taxair
TQF	UK Royal/VIP Helicopter Flights	Rainbow
TQN	Taquan Air Services, Inc. (Ketchikan, AK) - United States	Taquan
TQR	Transportacion Aerea de Queretaro, S.A. de C.V. - Mexico	Transqueretaro
TRA	Transavia Holland B.V. - Netherlands	Transavia
TRB	Thai Regional Aviation Co., Ltd	Thai Regional
TRC	Trans Air Charter, Inc. (Fullerton, CA)	Tracker
TRD	Barbados	Trans Island
TRF	France	Taxi Jet
TRG	?	Transcargo
TRH	?	Turukhan
TRJ	?	Trujet
TRK	?	Turkish Republic
TRL	Starlite Aviation Pty Ltd - South Africa	Starstream
TRM	Transport Aerien de Mauritanie (TAM) - Mauritania	Sotrans
TRN	Servicios Aereos Corporativos, S.A. de C.V. - Mexico	Aerotron
TRO	Tropic Airlines-Air Molokai (Honolulu, HI)	Molokai
TRP	Maryland State Police (Pikesville, MD) - United States	Trooper
TRQ	Tarco Air - Sudan	Airtarco
TRR	Tramson Limited - Sudan	Tramson
TRS	Airtran Airways, Inc. (Orlando, FL)	Citrus
TRT	Trans Arabian Air Transport - Sudan	Trans Arabian
TRU	Triangle Airline (Uganda) Ltd - Uganda	Tri Air
TRV	Taron-Avia LLC - Armenia	Taronavia
TRW	Transwestern Airlines of Utah (Logan, UT)	Trans-West
TRX	Transportes Aereos Terrestres, S.A. de C.V. - Mexico	Trans-Terrestres
TRY	Tristar Airlines, Inc. (Las Vegas, NV)	Tristar Air
TRZ	Transmeridian Airlines (Houston, TX)	Trans-Meridian
TSA	Transair France - France	Airtraf
TSC	Air Transat A.T. Inc. - Canada	Air Transat
TSD	TAF-Linhas Aereas S/A - Brazil	Tafi
TSG	Trans-Air-Congo - Congo	Trans-Air-Congo
TSH	Regional 1 Airlines Ltd - Canada	Transcanada
TSI	Transport'Air - France	Transportair
TSJ	?	Tarsier
TSK	Tomsk Air Ltd - Russian Federation	Tomsk Avia
TSL	Thai Aviation Services Limited	Thai Aviation
TSM	?	Skylounge
TSN	Trans-Air Services Limited - Nigeria	Air Trans
TSO	Transaero Airlines - Russian Federation	Transoviet
TSP	Tonlesap Airlines	Tonlesap Air
TSQ	Air Transse Co., Ltd - Japan	Airtra
TSR	?	San Marino
TSS	Tri-State Aero, Inc. (Evansville, IL)	Tri-State
TSU	Gulf & Caribbean Cargo, Inc. (Waterford, MI) - United States	Trans-Auto
TSY	Tristar Air - Egypt	Triple Star
TTA	TTA -Sociedade de Transporte e Trabalho Aereo, S.A.R.L. - Mozambique	Kanimanbo
TTB	Aerolineas Turisticas del Caribe, S.A. de C.V. - Mexico	Aero Turisticas
TTC	Transteco - Angola	Transteco
TTD	?	Interestatales
TTE	Avcenter, Inc. (Pocatello, ID)	Teton
TTF	224th Flight Unit	Cargo Unit
TTG	Trai Thien Air Cargo	Vietnam Cargo
TTJ	?	Tatra
TTL	Total Linhas Aereas S/A - Brazil	Total
TTM	Societe Tout Transport Mauritanien - Mauritania	Tout-Air
TTN	Absolute Flight Services (Pty) Ltd	Titanium
TTO	Air Transport & Transit Regional - Madagascar	Transport Transit
TTP	Triple O. Aviation Ltd - Nigeria	Mighty Wing
TTR	Transportaciones y Servicios Aereos, S.A. de C.V. - Mexico	Transportaciones
TTS	Transporte Aereo Tecnico Ejecutivo, S.A. de C.V. - Mexico	Tecnico
TTW	?	Smart Cat
TTX	Extraordin Air Aviation and Charter (Houston, TX) - United States	Twister
TTY	?	Triple Tour
TUA	Turkmenhovayollary - Turkmenistan	Turkmenistan
TUB	?	True Aviation
TUD	Flight Alaska, Inc. (Anchorage, AK)	Tundra
TUI	Tuifly GmbH, Langenhagen	Tui Jet
TUJ	?	Taja
TUL	Tulpar Air - Russian Federation	Ursal
TUM	?	Utair-Cargo
TUN	?	Tunisian Airforce
TUO	Taxi Aereo Turistico, S.A. de C.V. - Mexico	Turistico
TUP	Aviastar-Tu Co. Ltd - Russian Federation	Tupolevair
TUR	?	Turbojet
TUS	Trustco Group International (Pty) Ltd - Namibia	Trustco
TUX	?	Tunexpress
TUY	Linea Turistica Aereotuy Lta, C.A. - Venezuela	Aereotuy
TVA	Trans America Airlines Inc.	Trans-America
TVD	Aeroflight Academy of Aviation, Inc. (Seattle, WA)	Aeroflight
TVF	Transavia France - France	France Soleil
TVI	Tiramavia Ltd - Republic of Moldova	Tiramavia
TVJ	?	Thaiviet Jet
TVL	Travel Service Ltd	Travel Service
TVP	?	Jet Travel
TVQ	?	Slovaktravel
TVR	?	Terraavia
TVS	Travel Servis - Czech Republic	Skytravel
TVT	?	Taxis Toluca
TVV	?	Paramita
TWB	T'Way Air Co., Ltd - Republic of Korea	Teeway
TWD	Wings Aviation Ltd - Nigeria	Tradewings
TWF	247 Jet Ltd	Cloud Runner
TWG	Air-Taxi Europe GmbH, Braunschweig - Germany	Twin-Goose
TWI	Tailwind Havayollari A.S. - Turkey	Tailwind
TWN	Avialeasing Aviation Company - Uzbekistan	Twinarrow
TWR	Transworld Airfreighters	Transworld
TWT	Transwisata Prima Aviation, Pt. - Indonesia	Transwisata
TWW	Trans Air Welwitchia - Angola	Welwitchia
TWY	Sunset Aviation, LLC (Petaluma, CA) - United States	Twilight
TXA	Texair Charter, Inc. (San Antonio, TX)	Okay Air
TXB	?	Caborca
TXC	Transaviaexport - Belarus	Transexport
TXD	Aerotaxis del Noroeste, S.A. de C.V. - Mexico	Taxi Oeste
TXF	Aerotaxis Alfe, S.A. de C.V. - Mexico	Alfe
TXH	?	Textron
TXI	Aereotaxis, S.A. de C.V.	Aereotaxis
TXJ	?	Taixiang
TXL	Taxi Aereo Cozatl, S.A. de C.V. - Mexico	Taxi Cozatl
TXM	Taxi Aereo de Mexico - Mexico	Taximex
TXN	Texas National Airlines (San Antonio, TX)	Texas National
TXO	Taxis Aereos de Sinaloa, S.A. de C.V. - Mexico	Taxis Sinaloa
TXP	Asian Express - Tajikistan	Tajik Express
TXR	Taxirey, S.A. de C.V. - Mexico	Taxirey
TXS	Texas Airlines, Inc. (Galveston, TX)	Texair
TXT	Group One, Inc. D/B/A Texas Air Charters (Denton, TX) - United States	Texas Charter
TXV	Puerto Vallarta Taxi Aereo, S.A. de C.V. - Mexico	Taxivallarta
TXX	Austin Express, Inc. (Austin, TX)	Cowboy
TXZ	?	Express Air
TYA	?	Taimyr
TYC	?	Transylvania
TYJ	?	Tyrol Malta
TYL	?	Damasair
TYM	?	Espemex
TYR	Tyrolean Airways - Tiroler Luftfahrt GmbH - Austria	Tyrolean
TYT	?	Trinity
TYW	Tyrol Air Ambulance GmbH - Austria	Tyrol Ambulance
TZA	Aero Tomza, S.A. de C.V. - Mexico	Aero Tomza
TZE	Transporte Aereo Ernesto Saenz, S.A. de C.V. - Mexico	Transporte Saenz
TZK	Tajikistan - Tajikistan	Tajikistan
TZR	Rainbow Air, C.A. - Venezuela	Rain-Bee
TZS	?	Toka
TZT	Air Zambezi - Zimbabwe	Zambezi
TZU	Servicios Aereos Tamazula, S.A. de C.V. - Mexico	Tamazula
UAB	United Arabian Airlines - Sudan	United Arabian
UAC	United Air Charters - Zimbabwe	Unitair
UAE	Emirates - United Arab Emirates	Emirates
UAF	United Arab Emirates Air Force	Uniforce
UAG	Afra Airlines Limited - Ghana	Afraline
UAL	United Airlines Inc. (Chicago, IL)	United
UAP	?	Airwing
UAR	Ukraine	Aerostar
UBA	Myanmar	Unionair
UBD	Bangladesh	United Bangladesh
UBG	?	Banglastar
UCA	Commutair (Plattsburgh, NY)	Commutair
UCB	?	Eagle Eye
UCC	Uganda Air Cargo - Uganda	Uganda Cargo
UCG	?	Uniworld
UCH	US Airports Air Charter (Rochester, NY)	US Charter
UCK	Air Division of the Eastern Kazakhstan Region, Municipal State Enterprise - Kazakhstan	Galeta
UCM	University of Central Missouri (Warrensburg, MO) - United States	Mule-Flight
UCO	Ucoaviacion S.L. - Spain	Ucoaviacion
UCR	Aero-Charter Ukraine Ltd - Ukraine	Charter Ukraine
UCS	United Carriers Systems, Inc. (Gahanna, OH) - United States	United Carriers
UDC	Donbassaero, Utility Enterprise Airline Company  - Ukraine	Donbass Aero
UDN	Dnieproavia - Ukraine	Dniepro
UEA	?	United Eagle
UEJ	United Executive Jet, Inc. D/B/A Jetcorp (Chesterfield, MO) - United States	Jetcorp
UEU	?	United European
UFA	State Flight Academy of Ukraine, the - Ukraine	Flight Academy
UFS	UFS, Inc. (St.Louis, MO) - United States	Feeder Flight
UGA	Uganda Airlines Corporation - Uganda	Uganda
UGB	Meridiana Africa Airlines (U) Ltd - Uganda	Ugawings
UGC	Urgemer Canarias, S.L. - Spain	Urgemer
UGL	Inter-Island Air, Inc. (Kahului, HI) - United States	Ugly Van
UGP	Shar Ink Ltd - Russian Federation	Sharink
UGS	?	Sky Uganda
UGX	East African - Uganda	Crane
UHC	Ukrainian Handling Company LLC	Handling Company
UHL	Ukrainian Helicopters, CJS Company	Ukraine Copters
UIT	?	Artic
UJC	Ultimate Jetcharters, Inc. (North Canton, OH) - United States	Ultimate
UJR	Universal Jet Rental de Mexico, S.A. de C.V. - Mexico	Universal Jet
UJX	?	Atlas Ukraine
UKI	UK International Airlines Ltd	Magenta
UKL	Ukraine Airalliance	Ukraine Alliance
UKM	Ukraine Mediterranean Airlines Ltd	Ukraine Mediterranee
UKN	Ukraine Air Enterprise	Enterprise Ukraine
UKP	UK Home Office	Police
UKR	Air Ukraine - Ukraine	Air Ukraine
UKT	Uktus, Aircompany - Russian Federation	Uktus
UKW	Lvov Airlines - Ukraine	Ukraine West
ULA	Ultraair, LLC - (Omaha, NE) - United States	Ultrajet
ULC	?	Albi
ULG	?	Unicorn
ULH	Ultimate Heli (Pty) Ltd - South Africa	Ultimate Heli
ULR	South Africa	Viper
ULT	Ultrair, Inc. (Smyrna, TN) - United States	Ultrair
UMA	Lineas Aereas del Humaya, S.A. de C.V. - Mexico	Humaya
UMK	Yuzmashavia	Yuzmash
UNA	?	United Asia
UNC	Uni-Fly A/S - Denmark	Unicopter
UND	Atuneros Unidos de California, S.A. de C.V. - Mexico	Atuneros Unidos
UNF	Union Flights (Sacramento, CA) - United States	Union Flights
UNQ	Unique Air Charter (Pty) Ltd - South Africa	Unique
UNS	Unsped Paket Servisi Inc. - Turkey	Unsped
UNT	Servicios Aereos Universitarios, S.A. de C.V. - Mexico	Universitario
UNY	Lund University School of Aviation, TFHS	University
UPL	Ukrainian Pilot School	Pilot School
UPS	United Parcel Service Company, (Louisville, KY)	UPS
UPV	?	Upavon
UQA	?	Unicargo
URA	Aircompany Rosavia, Ltd - Ukraine	Rosavia
URF	?	Surfair
URG	Air Urga - Ukraine	Urga
URI	Republic of Korea	Uri Air
URJ	Star Air M/S - Pakistan	Starav
URN	Turan Air - Azerbaijan	Turan
URS	?	Silk Cargo
USB	Tusheti	Tusheti
USC	?	Star Check
USH	U.S. Helicopter Corp. (Stratford, CT)	US-Heli
USJ	U S Jet, Inc. (Washington, DC)	Usjet
USK	Skif-Air, LLC - Ukraine	Skif-Air
USR	US Army Aeronautical Services Agency (Ft. Belvoir, VA)	US Army
USW	?	Aksar
USX	?	Terrakea
UTA	UTair Aviation - Russian Federation	Utair
UTG	Union de Transportes Aereo de Guinea Ecuatorial (UTAGE) - Equatorial Guinea	Utage
UTN	Ukraine	Ut-Ukraine
UTP	Uni-Top Airlines Co., Ltd - China	Uni-Top
UTR	UTair South Africa (Pty) Ltd - South Africa	Airut
UTS	State Air Traffic Service Enterprise - Ukraine	Airruh
UTT	Transarabian Transportation Services Co. Ltd - Uganda	Arabian Transport
UTX	UTair-Express Limited Company - Russian Federation	Utair-Express
UTY	Alliance Airlines Pty Ltd - Australia	Unity
UVA	Universal Airways, Inc. - United States	Universal
UVM	Uvavemex, S.A. de C.V. - Mexico	Uvavemex
UVN	Gulf Aviation Services Group (United Aviation) - Kuwait	Senyari
UVT	?	Tat-Jet
UWA	?	Grumpy
UWJ	?	Ukrainian Wings
UZA	Constanta - Ukraine	Constanta
UZB	Uzbekistan Havo Jullary - Uzbekistan Airways - Uzbekistan	Uzbek
VAA	Van Air Europe, A.S. - Czech Republic	Eurovan
VAC	Valor Air - Kyrgyzstan	Valoravia
VAD	Aerotaxi Los Valles, S.L. - Spain	Valles
VAE	Air-Evan's, Escuela de Pilotos Privados - Spain	Air-Evans
VAJ	?	Trubadix
VAL	Voyageur Airways Ltd. - Canada	Voyageur
VAM	Ameravia - Uruguay	Ameravia
VAN	Caravan Air - Mauritania	Camel
VAP	Phuket Airlines Co., Ltd - Thailand	Phuket Air
VAQ	Aviacion VAP, S.L. - Spain	Vaquero
VAS	Atran - Russian Federation	Atran
VAW	?	Sofia Jet
VAX	?	Vantage
VBA	?	Nove
VBB	?	Air Lubo
VBC	AVB-2004 Ltd - Bulgaria	Air Victor
VBW	Air Burkina - Burkina Faso	Burkina
VCG	?	Thunder Cat
VCH	Consorcio Helitec C.A. - Venezuela	Consorcio Helitec
VCI	CI-Tours - Côte d'Ivoire	CI-Tours
